,IES,Programa,Cod_Area,Titulo,Autor,Tipo,Defesa,Resumo,Keywords,link_trabalho
0,Universidade Federal De Goiás,Direitos Humanos ,52001016057P9,"As Identidades De Gênero E Sexualidade Na Visão Dos Parlamentares Da Câmara Federal: Uma Análise Do Discurso A Partir Dos Projetos ""Escola Sem Partido""",Isabella Bruna Lemes Pereira,Dissertação,17/08/2017,"A presente dissertação tem como objetivo analisar os discursos dos parlamentares quanto aos direitos humanos de pessoas cuja sexualidade ou a identidade de gênero não satisfazem o padrão heternormativo e heterossexual imposto pela sociedade. A metodologia do trabalho foi a análise do discurso a partir de Michel Foucault e Dominique Maingueneau. O material constitutivo da análise, o corpora, foram os discursos escritos ou verbais dos deputados federais, relacionados aos projetos de lei de parlamentares na Câmara dos Deputados com temática afim ao Movimento Escola sem Partido. São eles : PL 7180/2014 (objetiva inserir como princípio a precedência aos valores de ordem familiar sobre a educação escolar nos aspectos relacionados à educação moral, sexual e religiosa), PL 7181/2014 (objetiva aplicar vigência decenal aos PCN), PL 867/2015 (objetiva inserir no PCN o ―Programa Escola sem Partido‖), PL 6005/2016 (objetiva criar do ―Programa Escola Livre‖), PL 1859/2015 (objetiva proibir de desenvolvimento de políticas de ensino que versem sobre ―ideologia de gênero), PL 5487/2016 (objetiva proibir a orientação e distribuição de livros que verse sobre orientação de diversidade sexual para crianças e adolescentes). A compreensão de direitos humanos dos parlamentares é relativa, posto que não abrange a todos, mas se restringem a certas categorias sociais, o que se explica pela forma com que se deu a cidadania brasileira, patriarcal, carregada de conservadorismos e ideais religiosos que impedem um olhar menos preconceituoso, sexista e colonizado sobre as diferenças e as diversas identidades sexuais, e permitem que discursos infundados, como o da ―Ideologia de Gênero‖ se imponham, restringindo espaços que deveriam ser democráticos.","['Análise', 'do', 'Discurso;Direitos', 'Humanos', 'em', 'perspectiva', 'decolonial;Escola', 'sem', 'Partido;Câmara', 'dos', 'Deputados;Ideologia', 'de', 'Gênero']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5303932
1,Pontifícia Universidade Católica Do Rio De Janeiro,Ciências Sociais ,31005012030P0,Escola Pública Sob Disputa: Moralidade E Religião,Sarah Laurindo Monteiro,Dissertação,20/04/2018,"O Brasil tem experimentado uma mudança no seu campo religioso com o decrescimento do catolicismo e o aumento das religiões protestantes, principalmente as de denominação pentecostal e também dos indivíduos que se declaram sem religião. Atesta-se que a sociedade está vivendo um processo de reforma moral e a escola pública é um dos seus principais palcos. Tal instituição é também o resultado de intensas disputas sociais. Esse cenário é o foco desta dissertação. Desenvolve-se, à luz dos conceitos de secularização e laicidade para compreender o processo brasileiro, em direção à constituição de uma sociedade pluralista. Isso se percebe historicamente; por meio de pistas empíricas e bibliográficas; e também a partir de propostas legislativas e resoluções para o currículo escolar recentes. É constatado que a interface entre religião e escola no Brasil é umbilical, ora aparece de forma explícita, ora subjacente nas disputas para a constituição do que se entende por escola pública. A novidade é que a transição para um campo religioso mais diverso, em especial, por conta do pentecostalismo, faz com que a naturalizada acomodação entre Estado e Igreja Católica seja abalada e se dispute o significado do próprio conceito de laicidade e até, no limite, do de democracia no cotidiano das relações que se travam no “chão da escola”. ","['Religião;escola', 'pública;laicidade;moralidade;valores;escola', 'sem', 'partido;ensino', 'religioso;base', 'nacional', 'comum', 'curricular;“ideologia', 'de', 'gênero”.']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6452576
2,Universidade Federal Fluminense,Estudos De Linguagem ,31003010073P1,"Quando Lecionar Pode Virar Crime: O Movimento ""Escola Sem Partido"" Sob Uma Ótica Discursiva. ",Fabiany Carneiro De Melo,Dissertação,29/09/2017,"Esta pesquisa teve como foco de análise o movimento “Escola sem Partido” (EsP), criado e coordenado desde 2004 pelo advogado Miguel Nagib. Sob o lema “educação sem doutrinação”, o movimento luta pela criação de uma lei contra “o abuso da liberdade de ensinar” alegando haver uma “instrumentalização político-ideológica para fins específicos” generalizada no ensino brasileiro. Desta forma, o presente estudo buscou responder às seguintes questões: Como se faz possível discursivamente um movimento aos moldes do “Escola sem Partido”? De que maneira se dá a enunciação e propagação de discursos de ódio e desvalorização docente? A partir dessas perguntas que nortearam nossa análise, tivemos por objetivo geral: analisar discursivamente a imagem sobre o professor e seu trabalho à luz do movimento EsP. Nossos objetivos específicos foram: (a) identificar os sentidos estabelecidos na relação escola-professor-sociedade-educação por meio dos discursos que constituem as práticas do movimento; (b) analisar dispositivos de diferentes ordens que configuram discursivamente modos de constituição profissional do sujeito docente e sua relação com o aluno, a partir da materialidade de corpora espiano. Nossas análises recaem sobre o  cartaz “Deveres do Professor” elaborado pelo movimento, sobre o artigo intitulado “A ideologia de gênero no banco dos réus” e a carta “Mensagem de fim de ano do coordenador do Escola sem Partido ao militante disfarçado de professor”, ambos de autoria de seu coordenador. Ademais, estabelecemos paralelos com os Projetos de Lei EsP 867/2015 e 193/2016 e com outros materiais divulgados pelo movimento. Baseados em uma concepção de Linguística Aplicada que busca responder a demandas provenientes do social, recorremos na área dos estudos da linguagem a pressupostos teóricos da Análise do Discurso de base enunciativa, mobilizando as noções de formação discursiva (FOUCAULT, 2008; MAINGUENEAU, 2008) e dispositivo (FOUCAULT apud FANLO, 2011) e às categorias de heterogeneidade constitutiva (MAINGUENEAU, 1997, 2008, 2015), prática discursiva (FOUCAULT, 2008; MAINGUENEAU, 1997, 2008a, 2008b) e cenografia discursiva (MAINGUENEAU, 1997, 2008a, 2008b). Os resultados do estudo identificaram uma cenografia discursiva de combate, censura e perseguição ao profissional professor e a ativação de dispositivos paranóicos em torno ao ato de lecionar. As conclusões do trabalho remetem a configuração de um discurso fomentador de ódio à categoria e prática docentes e uma crescente (des)valorização do profissional professor e de sua atividade. Agregam-se a isso um contexto de ofensivas conservadoras, autoritarismo e o retrocesso de conquistas sociais alcançadas até aqui em âmbito nacional. ","['Escola', 'sem', 'Partido;Análise', 'do', 'Discurso;Educação;trabalho', 'docente']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5968294
3,Universidade Estadual De Maringá,Ensino De História ,31001017155P1,Um Estudo Da Alienação Como Efeito Do Programa Escola Sem Partido: Como Defender O Ofício De Ensinar História ,Mauricio Antonio Dal Molin Filho,Dissertação,29/08/2018,"Esta pesquisa se propõe a analisar o Programa Escola sem Partido e sua incidência sobre  o ofício do professor, principalmente, no exercício de ensinar História. Existe, na proposta do  Programa Escola sem Partido, a ideia de que há doutrinação exercida por parte dos professores  brasileiros e que tal prática precisa ser monitorada e denunciada a fim de não interferir política,  religiosa e ideologicamente na formação do aluno. Utilizamos, como fontes de análise, os  Projetos de Lei 7180/2014 e o 193/2016, bem como material oriundo de canais de comunicação  cujo conteúdo nos permitiu lançar a hipótese de que há uma intenção de controle e cerceamento  ao trabalho do professor, comprometendo o processo criativo e interferindo no método de  ensino-aprendizagem. A partir disso, elencamos o fenômeno da alienação incutido na essência  do Programa Escola sem Partido. A condição da alienação se faz presente tanto nas ações  refletidas e derivadas do referido Programa, criando um aparato de denúncias que transformam  o cenário educacional em um espaço de judicialização, quanto nos agentes propugnadores,  quando incentivados a fiscalizar os conteúdos ministrados em sala de aula, culminando na  criação dos sintomas de falsa consciência e reificação no ato de aprender e ensinar História.   ","['Escola', 'sem', 'Partido;Ensino', 'de', 'história;Alienação;Reificação;Falsa', 'cosnciência']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=7416021
4,Universidade De Pernambuco,Formação De Professores E Práticas Interdisciplinares ,25004018070P8,Escola Sem Partido: Um Ataque Direto As Políticas Educacionais De Gênero No Brasil,Camila Dos Passos Roseno,Dissertação,20/07/2017,"O objetivo desta dissertação é compreender a ascensão do Movimento Escola Sem Partido através da aliança feita com os setores conservadores para excluir e proibir as políticas educacionais em gênero e diversidade sexual no Brasil. Trata-se de uma investigação qualitativa, e dessa forma, analisamos os conteúdos disponibilizados pelo site e compartilhado pelo perfil público do Movimento no facebook, além de entrevistas fornecidas pelo seu fundador, Miguel Nagib. No exame do material obtido, foram fundamentais as reflexões teóricas sobre os estudos feministas, a construção da categoria gênero, as relações de gênero no espaço escolar, as legislações e as políticas públicas educacionais em gênero e diversidade sexual e o entendimento sobre a ascensão dos grupos fundamentalistas cristãos no cenário político do país. A partir da perspectiva pós-estruturalista, principalmente, alicerçada pela obra de Michel Foucault (1988) e de Joan Scott (1995), apresentamos quais discursos institucionalizam e normatizam o gênero e como esses discursos constroem, também, negativamente o termo ""ideologia de gênero?. Isto posto, apresentamos quais ações estão sendo tomadas e influenciadas pelo Movimento, a fim de barrar, excluir e proibir qualquer discussão sobre as questões de gênero em nossa educação. E por outro lado, destacamos a inconstitucionalidade das proposições defendidas pelo Escola Sem Partido (ESP), as quais desrespeitam a liberdade de ensinar, de aprender, o pluralismo de ideias e o exercício da cidadania. E por fim, enfatizamos os atos de resistência construído através de uma rede de associações profissionais, entidades sindicais, dos movimentos sociais em defesa da educação e dos órgãos nacionais e internacionais, que através de diversas ações vem fortalecendo a agenda de políticas educacionais em gênero e diversidade sexual no Brasil.  ","['Escola', 'sem', 'partido;Gênero;Educação;Conservadorismo']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5056712
5,Universidade Federal De Pelotas,Educação ,42003016014P2,Escola Sem Partido (Esp) Versus Professores Contra O Escola Sem Partido (Pcesp): Tensões E Discurso Nas Redes Sociais,Cristiano Guedes Pinheiro,Tese,06/11/2017,"A tese apresentada tem como tema de pesquisa o confronto entre os discursos das organizações Escola Sem Partido (ESP) e o Professores Contra o Escola Sem Partido (PCESP), acerca de um suposto processo de doutrinação ideológica, ocorrido nas salas de aula da Educação Básica e no Ensino Superior no Brasil, promovido pelos professores. Os objetivos traçados para a pesquisa, por sua vez, foram: o da análise das formações discursivas que constituem esse confronto, expresso nas mídias sociais (Facebook e websites), tanto do ESP quanto do PCESP; a verificação das aproximações e distanciamentos possíveis entre ambos os discursos (com suas dinâmicas ideológicas e seus diferentes projetos de Educação e de sociedade) e como esse confronto pode expressar ou não, práticas de formação e de resistência no campo da Educação. Para tanto, lançamos mão de um conjunto teórico-metodológico, notadamente formado pelos conceitos de: formação discursiva, formação ideológica, sujeito, contexto, memória, descrição, acontecimento discursivo (AcD), movimentos sociais, educação não formal e de narrativas de resistência. A partir desse referencial e da metodologia assentada então, nos pressupostos da Análise de Discurso da matriz francesa de Michel Pêcheux (1997, 2006), a análise dos dados apresentada nos levou a concluir que: os discursos do ESP e do PCESP se processam num campo de tensionamento em disputa e estão vinculados a projetos distintos de Educação e de sociedade, tanto em seu aspecto econômico (Estado Emancipacionista versus Estado Mínimo), como no aspecto social (classe, moralidade, gênero e sexualidade). Por fim, foi possível identificar também, o ESP enquanto um antimovimento social com elementos característicos do Ur-Fascismo e o PCESP enquanto um movimento social caracterizado por práticas educativas e por uma narrativa de resistência.","['Escola', 'Sem', 'Partido;Professores', 'Contra', 'o', 'Escola', 'Sem', 'Partido;Discurso;Educação;Redes', 'sociais']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5762133
6,Pontifícia Universidade Católica Do Rio Grande Do Sul,Educação ,42005019001P0,Patriarcado Atualizado: Uma Análise Da Campanha Religiosa Conservadora Ao Gênero Na Educação,Betina Dias Torriani,Dissertação,26/03/2020,"As temáticas de gênero e sexualidade, e sobretudo sua inclusão em políticas educacionais e currículos escolares, vêm sendo sistematicamente atacadas sob o sintagma de “ideologia de gênero”, em campanha empreendida por setores religiosos que questionam ativamente o desenvolvimento de compreensões de gênero que extrapolam o binarismo masculino/feminino. Nesse trabalho, indagamos os sentidos dessa campanha no Brasil no campo da educação, a partir da investigação e análise de discursos proferidos por lideranças religiosas da Igreja Católica e Assembleia de Deus, acessíveis em meio digital, entre os anos de 2015 e 2018. Propomos nossa análise dessa construção discursiva através de três eixos principais: o questionamento aos estudos de gênero; a regulação sobre a família, vida privada e sexualidade; e a denúncia moral que convoca à participação política. Buscamos, ainda, localizar o combate à “ideologia de gênero” no contexto de aprofundamento da exploração capitalista no Brasil. A partir dessa abordagem, identificamos nas discussões teóricas acerca da função social da educação e nas conceituações feministas sobre patriarcado, ferramentas para a compreensão do discurso religioso. Observamos, nesse fenômeno, a defesa de noções cristalizadas e hierárquicas de gênero e família, e a predominância de uma compreensão privada de educação, expressão ideológica da relação entre exploração e opressão que caracteriza a forma capitalista da dominação patriarcal. ","['gênero;ideologia;educação;“ideologia', 'de', 'gênero”;patriarcado', 'capitalista']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=9735598
7,Universidade Estadual Do Paraná - Reitoria,Sociedade E Desenvolvimento ,40076016001P4,Gênero E Educação Em Tempos De Escola Sem Partido: Compreensões De Educadoras Em Debate.,Jean Pablo Guimaraes Rossi,Dissertação,28/02/2020,"Esta pesquisa analisou as compreensões de mulheres, educadoras da educação básica de uma rede municipal de ensino do Paraná, a respeito dos debates entre gênero, objetivos da educação e Escola sem Partido (ESP). Partindo de uma perspectiva de interdisciplinaridade e de complexidade, apresentamos criticamente a origem e história do Escola sem Partido, buscando evidenciar como esse movimento já nasce com viés ideológico e político, embora se autodeclare neutro e apartidário. Diante do pseudo conceito de “ideologia de gênero”, esta pesquisa problematiza: seria possível que as perspectivas defendidas pelo ESP estejam presentes nas compreensões de professoras? Para responder a esse questionamento, desenvolvemos uma pesquisa de campo com 13 professoras de escolas públicas. Foram organizadas 3 sessões de grupos focais nas quais as participantes tiveram a oportunidade de debater e expressar as suas compreensões em torno da escola, questões de gênero e sexualidade e o movimento Escola sem Partido. O conteúdo das sessões de grupos focais foi organizado em três categorias de análise. Na primeira discutimos a presença de discursos que dicotomizam as funções da escola, o papel docente e a função da família, elementos que se relacionam ao movimento de simplificação presente no ESP. Na segunda categoria discutimos as narrativas referentes aos medos e opressões vivenciados pelas educadoras e que também estabelecem paralelos estreitos com os discursos do ESP. Na terceira e última categoria, analisamos as contradições entre as crenças pessoais das participantes e as temáticas de gênero e sexualidade. Em suma, os dados evidenciam compreensões docentes influenciadas por crenças hegemônicas e preconceitos que expressam similitudes aos discursos adotados pelo ESP, além de dicotomização entre as noções de ensinar e educar. Os achados da investigação denotam que as compreensões das educadoras oportunizam a entrada do ESP no âmbito escolar e, portanto, corroboram a necessidade de continuarmos investindo em uma formação docente que leve em consideração as questões de gênero e incorpore também uma análise crítica a respeito de movimentos supostamente neutros, como o ESP, cujos discursos se distanciam de uma educação progressista e democrática.","['Escola', 'sem', 'partido;gênero;formação', 'docente;objetivos', 'da', 'educação']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=9685107
8,Universidade Estadual De Campinas,Educação ,33003017001P2,Por Que Não Falar De Gênero? A Polêmica Da Ideologia De Gênero E Os Planos Municipais E Nacional De Educação,Gabriela Campos Dos Santos,Dissertação,26/10/2018,"A seguinte pesquisa teve por foco compreender quais as forças/relações de poder que se colocaram em cena no debate sobre gênero nas políticas educativas contemporâneas, analisando como elas se manifestaram nos processos de elaboração dos Planos Nacional e Municipais de Educação, sobretudo tendo em vista o caso específico dos municípios de Sorocaba (SP) e Apiaí (SP), e também focamos em como estes debates se manifestaram na esfera pública, através de análise de notícias, reportagens e postagens de redes sociais. Para realizar tal debate, fundamentamo-nos, majoritariamente, no pensamento genealógico de Michel Foucault, no que diz respeito ao modo como o poder se manifesta e é produzido, orientando a vida e as condutas dos seres humanos em sociedade e no que se refere aos dispositivos que contribuem para a produção de determinados modos de subjetividade, destacando aqui os discursos presentes nos Planos de Educação e nos processos de construção destes. Foi possível observar, portanto, que as violências perpassam o dito e o não dito, parecendo sentirem-se mais à vontade para consolidar-se onde o não dito é a regra, e passam a ser incômodas quando são observadas e ditas, onde o privilégio se vê com pouca voz e reivindica novamente sua fala. ","['gênero;ideologia', 'de', 'gênero;educação;políticas', 'públicas']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=7283698
9,Universidade Federal Do Rio Grande,Educação ,42004012021P5,Escola Sem Partido: Uma Análise Das Investidas De Poder Sobre As Identidades Docentes,Elvis Patrik Katz,Dissertação,12/12/2017,"O autodenominado Escola Sem Partido é uma espécie de movimento social que ao longo dos últimos anos vem atacando sistematicamente a categoria docente. Fundada em 2004, a organização tem por finalidade combater a existência de uma suposta hegemonia da “doutrinação ideológica” de esquerda nas escolas brasileiras. A presente Dissertação objetivou analisar as enunciações proferidas pelo Escola Sem Partido em seus ditos constantes, sobretudo, no website do movimento, o escolasempartido.org. No interior da Linha de Pesquisa Linguagens, Culturas e Utopias, sob a orientação do pensamento de Michel Foucault e as contribuições dos Estudos Culturais, procurei responder ao problema de pesquisa: como operam as investidas de poder lançadas pelo Escola Sem Partido sobre as condutas docentes? O corpus documental incluiu, dessa forma, dois tipos de fontes: a categoria um (1) contemplou as enunciações que buscavam fabricar discursivamente as realidades das quais o Escola Sem Partido se ocupava. A categoria dois (2) pretendeu, por outro lado, legitimar e consolidar as afirmações e teses presentes na primeira categoria. Das categorias derivaram (dezessete) 17 unidades que foram utilizadas para construir verdades que subsidiaram a organização nas suas afirmações. Sustentado nesses saberes e com o essencial papel desempenhado pelo Mecanismo da Denúncia, o movimento passou a lançar sobre os professores uma estratégia de dominação que nomeei como “investidas de poder”. Tais ações configuravam-se como práticas constantes e visavam provocações permanentes sobre a conduta docente. Desmembrando as investidas apareceram as técnicas de poder, distinguíveis em dois grupos: a) Técnicas Educativo-Políticas e b) Técnicas Jurídicas. Ambas, atuando sobre as condições oferecidas pelos instrumentos anteriores, passaram a criar uma situação em que os projetos de leis do Programa Escola Sem Partido tornaram-se apenas mais uma peça das engrenagens usadas para o governamento dos professores. Portanto, apesar das Técnicas Jurídicas estarem entre as mais decisivas, atualmente, suas forças só se fazem tamanhas por conta dos procedimentos que as precederam. Por fim, as investidas de poder pareciam acabar por construir, com seus ataques, identidades docentes desejáveis que passaram a funcionar como posições de sujeito a serem ocupadas pelos docentes. Assim, a organização vem tentando reconquistar, aos poucos, o espaço na escola que ela acredita ter cedido para os partidários da esquerda política.","['Escola', 'Sem', 'Partido;Investidas', 'de', 'poder;Identidade', 'docente;Michel', 'Foucault;Estudos', 'Culturais']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5498809
